"No.","Date","Genre","Bibl","Hit"
"1","1981-10-02","Zeitung","Die Zeit, 02.10.1981","Im Gefolge der unbezweifelbaren österreichischen Staats-Integritat bildete sich eine immer weniger bezweifelte österreichische Nation: demoskopische Umfragen zeigen dies, und Nation ist immer auch das Resultat einer kollektiven Selbstbestimmung."
"2","1989-07-21","Zeitung","Die Zeit, 21.07.1989","Für die feierliche Erinnerung ist er in erster Linie der große Amerikaner, auf dessen Kriegstaten die ganze Nation stolz sein darf."
"3","1985-01-25","Zeitung","Die Zeit, 25.01.1985","Im (mißbrauchten) Namen sei es der Nation, sei es der Demokratie wendet man sich ab von den unbequemen, doch so nötigen entfernten Entscheidungen, auch wenn das bedeutet, daß diese dann gar nicht mehr getroffen werden."
"4","1979-12-14","Zeitung","Die Zeit, 14.12.1979","Wegen der Deportationsorder gegen den Bürgermeister von Nablus hatte Begin nicht nur vom amerikanischen Außenminister Cyrus Vance einen Mahnbrief erhalten; auch die Vollversammlung der Vereinten Nationen förderte ihn in seltener Einmütigkeit auf, die Ausweisung nicht zu vollziehen."
"5","1979-11-30","Zeitung","Die Zeit, 30.11.1979","Je fähiger und geschickter ihre politischen Befehlshaber die außenpolitischen Geschicke der Nation lenkten, desto seltener mußten sie kämpfen."
"6","1977-09-16","Zeitung","Die Zeit, 16.09.1977","Als Faktum hinnehmen, wenngleich nicht annehmen, muß Erdmann die 1974 aufgestellte These der DDR-Machthaber, daß es keine einheitliche deutsche Nation mehr gebe, sondern nur noch deren zwei: eine sozialistische Nation und eine kapitalistische Nation."
"7","1989-07-14","Zeitung","Die Zeit, 14.07.1989","Bei großen Respekt für die Leiden Honeckers in der Nazizeit und bei Respekt für sein Unvermögen, sich später von den illusionären ideologischen Vorstellungen zu lösen, an die er sich als junger Mann im Zuchthaus zu Brandenburg geklammert hat - sein Versuch, anstelle der deutschen Nation eine ""sozialistische Nation"" in das Bewußtsein der von ihm regierten Deutschen zu heben, ist selbstverständlich zur Gänze gescheitert."
"8","1980-02-15","Zeitung","Die Zeit, 15.02.1980","Er ist der große Wunsch aller Rassen, Nationen und Weltanschauungen."
"9","1973-09-21","Zeitung","Die Zeit, 21.09.1973","Die Militärjunta mit dem Heeresoberbefehlshaber General Augusto Pinochet an der Spitze hat der gestürzten Volksfront-Regierung in einem 14-Punkte-Dokument vorgeworfen, die Grundrechte, vor allem das Besitzrecht, verletzt und durch sterilen Klassenkampf die Einheit der Nation zerstört zu haben."
"10","1979-08-03","Zeitung","Die Zeit, 03.08.1979","Selten hat eine Nation eine so radikale Verschiebung des Kräftegleichgewichts so passiv hingenommen wie wir."
"11","1984-03-23","Zeitung","Die Zeit, 23.03.1984","An dem Tag, an dem die Palästinenser eine Nation wie irgendeine andere Nation geworden sein werden, bin ich nicht mehr dabei."
