"No.","Date","Genre","Bibl","Hit"
"1","1998-04-02","Zeitung","Die Zeit, 02.04.1998","""Unser Staat interessiert sich doch nur für die Großen."""
"2","1991-08-09","Zeitung","Die Zeit, 09.08.1991","Der angehende Staatsmann entwickelte daraufhin sofort und im nahtlosen Anschluß an die baden-württembergische CDU unter ihrem damaligen Ministerpräsidenten Lothar Späth ein bundesweites Ordo-Konzept: Durch einen Verfassungszusatz sollte die Bundesregierung ermächtigt werden, diejenigen Staaten zu benennen, ""in denen nach allgemeiner Überzeugung keine Verfolgung stattfindet""."
"3","1998-06-25","Zeitung","Die Zeit, 25.06.1998","Undenkbar noch vor einem Jahr, daß die Vereinigten Staaten nach fast zwei Jahrzehnten bitterer Animositäten die Versöhnung suchen."
"4","2000-08-17","Zeitung","Die Zeit, 17.08.2000","Es ist heute am Staat, Konsequenzen folgen zu lassen."
"5","1998-09-17","Zeitung","Die Zeit, 17.09.1998","Beispiel Demokratieforschung: Wie läßt sich die Demokratie beleben, wie können Volksvertreter angesichts globalisierter Märkte und Mächte neuen Einfluß gewinnen?Was bedeutet die Computervernetzung für die Demokratie?Das sind lebenswichtige Fragen - doch die Demokratieforschung ist in Deutschland erstaunlich unterbelichtet, anders als zum Beispiel in den Vereinigten Staaten."
"6","1994-02-11","Zeitung","Die Zeit, 11.02.1994","Er arbeitete weiter an seinem Kommentar, hielt Vorlesungen über den freiheitlichen Staat und galt fortan als jemand, der zwar ein Nazi-Protagonist gewesen war, aber längst zur Demokratie bekehrt und gründlich gewandelt, gerade deshalb ein maßgeblicher Interpret der Verfassung."
"7","1992-04-03","Zeitung","Die Zeit, 03.04.1992","Friedrich Schorlemmer ist entsetzt über ""die hier und da massiv zutage tretende Rachementalität, wobei wiederum vom Staat erwartet wird, daß er das tut, was der einzelne nicht tun will."
"8","2003-08-14","Zeitung","Die Zeit, 14.08.2003","Doch ihre Idee, dass Steuern die ""Freiheit"" einschränken und dass dem Staat die Flügel so weit wie möglich gestutzt werden sollten, fällt in Amerika auf so fruchtbaren Boden wie fast nirgendwo sonst."
"9","1991-03-22","Zeitung","Die Zeit, 22.03.1991","Erstens bezahle auch im Westen der Staat für die Messen."
"10","1998-07-23","Zeitung","Die Zeit, 23.07.1998","""In einer öffentlichen Schule muß eine Lehrerin als erzieherisches Vorbild, als Repräsentantin des Staates und seiner Werte und Normen wirken."
"11","1992-09-18","Zeitung","Die Zeit, 18.09.1992","Nur der schlanke, graumelierte Tschurkin gab sich so westlich, daß man meinte, sein Land bewerbe sich nicht um Mitgliedschaft im Europarat, sondern in der Organisation amerikanischer Staaten."
"12","1996-08-16","Zeitung","Die Zeit, 16.08.1996","Die offiziellen Atommächte - die Vereinigten Staaten, Rußland, Frankreich, Großbritannien und China - hatten sich feierlich verpflichtet, bis Ende dieses Jahres die Verhandlungen zu einem guten Ende zu führen."
"13","1991-01-18","Zeitung","Die Zeit, 18.01.1991","Eine vom Staat in Auftrag gegebene Studie belegt, daß in dem von zwölf Millionen Menschen bewohnten Land 700000 Seropositive leben, das sind mehr als in ganz Europa oder Asien - die Weltgesundheitsorganisation (WHO) schätzt die Zahl der Infizierten dort auf jeweils 500000."
"14","2002-06-06","Zeitung","Die Zeit, 06.06.2002","Im Dorotheum wurde für 20740 Euro eine Sitzmaschine B 25 (gefertigt um 1939) von Marcel Breuer in die Staaten abgesetzt."
"15","2001-10-11","Zeitung","Die Zeit, 11.10.2001","Sollte Amerika gegen all diejenigen ins Feld ziehen, die es zu terroristischen oder den Terror unterstützenden Staaten erklärt hat, selbst wenn ihre Verbindungen zu bin Laden hypothetisch oder zumindest zweifelhaft sind?Das betrifft Länder, die Washington Hilfe zugesagt haben, wie Syrien und Sudan, aber auch alte Feinde wie Irak oder Iran."
"16","1991-07-12","Zeitung","Die Zeit, 12.07.1991","Die arabischen Staaten müssen direkt in den Friedensprozeß eingebunden werden."
"17","1990-06-01","Zeitung","Die Zeit, 01.06.1990","Gute Nachricht brachte Stefan Rosiny Fachmann für Co-Com-Fragen beim Zentralverband Elektrotechnik- und Elektronikindustrie (ZVEI) von seiner jüngsten Erkundungsreise in die Vereinigten Staaten mit zuruck Washington ist jetzt bereit, die Embargo-Listen, die den Export heikler Techniken in Lander des ehemaligen Ostblocks beschränken, wesentlich zu liberalisieren."
"18","2000-07-27","Zeitung","Die Zeit, 27.07.2000","Der Friedenspionier Uri Avneri, der seit Jahren dafür wirbt, dass Jerusalem Hauptstadt von zwei Staaten wird, ist ganz anderer Meinung:"
"19","1992-07-24","Zeitung","Die Zeit, 24.07.1992","Manche Eltern behaupten allerdings, der Staat wolle nur die Kosten für Sonderschulen sparen."
"20","1991-05-31","Zeitung","Die Zeit, 31.05.1991","Nun ist Deutschlands Normalität nicht die anderer Staaten."
"21","1997-09-12","Zeitung","Die Zeit, 12.09.1997","Vielleicht gibt es bei mir eine liberale Grundhaltung, weil ich keinen Bock habe, daß der Staat mir alles vorschreibt.""Sie ist über die Ökologiebewegung 1983 zu den Grünen gestoßen und wohnt noch heute im nordfränkischen Rottenberg in einem schnuckeligen Häuschen mit Garten, das ganz dem Klischee vom Glück im grünen Biotop zu entsprechen scheint - bis man feststellt, daß die Gemüsebeete doch ziemlich ungepflegt sind."
"22","1990-06-29","Zeitung","Die Zeit, 29.06.1990","Jedenfalls sind es viele; besondere Mühe hat sich der Staat gegeben, das Buch zu den Menschen zu bringen: bei dem weit ausgefingerten System der Gemeinde- und Gewerkschaftsbibliotheken"
"23","1999-04-29","Zeitung","Die Zeit, 29.04.1999","Außerdem sagen Sie, daß der Staat sich nicht dort zurückziehen solle, wo der Bürger von sich aus aktiv wird - damit verteidigen Sie ein System, das den Faktor Arbeit teuer macht."
"24","1992-04-10","Zeitung","Die Zeit, 10.04.1992","Zu ""achtzig Prozent"" hat sich der bayerische Autohersteller BMW dafür entschieden, in den Vereinigten Staaten ein neues Werk zu errichten - so steht es in einem Memorandum des US-Generalkonsuls Andrew G."
"25","1993-01-29","Zeitung","Die Zeit, 29.01.1993","Diese heute fast nur in den Vereinigten Staaten wirkenden ""Austro-Misesians"" unterscheiden sich von früheren Generationen durch ihre im Ausbildungssystem begründete enge Spezialisierung."
"26","1997-06-06","Zeitung","Die Zeit, 06.06.1997","Im Vergleich zu anderen Staaten des Mittleren Ostens und Nordafrikas hält das Land eine Reihe bedenklicher Rekorde:"
"27","1990-01-05","Zeitung","Die Zeit, 05.01.1990","Die Vereinigten Staaten haben schon nach dem Zweiten Weltkrieg einschlägige Erfahrungen mit der Rüstungskonversion gesammelt."
"28","2004-03-11","Zeitung","Die Zeit, 11.03.2004","Doch schließlich, 1803, konnte er Napoleon Louisiana abkaufen und »das Territorium der Vereinigten Staaten mittels einer einfachen Unterschrift mit meinem präsidialen Füllfederhalter verdoppeln«."
"29","2000-05-18","Zeitung","Die Zeit, 18.05.2000","Der Staat mache genau dasselbe, was er den Steuerzahlern ständig vorwirft, ärgert sich Dieter Lau, der Vizepräsident des Bundes der Steuerzahler."
"30","1997-01-24","Zeitung","Die Zeit, 24.01.1997","""Ich habe mir überlegt, daß nach mehr als einem Jahrzehnt die Zeit gekommen ist, die wichtigste Funktion im Staate für Jüngere freizumachen."""
