"No.","Date","Genre","Bibl","Hit"
"1","2021-07-01","Zeitung","Die Zeit, 01.07.2021","Die Einheit sei mehr als 20 Jahre vorüber, die Probleme seien Vergangenheit, die Deutschen ein Volk."
"2","2009-06-10","Zeitung","Die Zeit, 10.06.2009","Er kann nicht vom Volk gewählt werden, sondern wird von einem religiösen Gremium auf Lebenszeit bestellt."
"3","2006-03-02","Zeitung","Die Zeit, 02.03.2006","Seine Partei werde eine Miniatur des syrischen Volkes sein, mit allen Schichten, allen Religionen, eine Volkspartei eben."
"4","2015-04-01","Zeitung","Die Zeit, 01.04.2015","Hier wird binnen drei Tagen ein Schuldiger dem Volk vorgeführt."
"5","2011-06-01","Zeitung","Die Zeit, 01.06.2011","Denn die charakterstarken Freunde des freiheitlichen Regierungsführers werden alsbald die Frage aufwerfen, ob das Volk nicht die totale Währungsreform will, totaler und radikaler als bislang vorstellbar."
"6","2019-05-02","Zeitung","Die Zeit, 02.05.2019","Die Befreiung der Völker durch die Befreiung der Frau - es ist eine Kernthese der kurdischen Befreiungsbewegung."
"7","2010-07-29","Zeitung","Die Zeit, 29.07.2010","Ein Gespräch mit dem einstigen Mönch Monychenda Heng über die Gräuel der Roten Khmer und die Frage, ob der Buddhismus dem Volk der Kambodschaner helfen kann, die Vergangenheit zu überwinden Glauben & zweifeln Seite 56"
"8","2010-04-08","Zeitung","Die Zeit, 08.04.2010","Wenn ein Volk Grund zur Politikverdrossenheit hat, dann die Briten."
"9","2011-11-17","Zeitung","Die Zeit, 17.11.2011","Letztere hat ein Mitspracherecht in der Organisation, genauso wie Gewerkschaften und Vertreter indigener Völker, die über Wohl und Wehe der Wälder mitbefinden sollen."
"10","2016-05-04","Zeitung","Die Zeit, 04.05.2016","Lösen wir uns von solchen Wunschbildern, kommt ein Mann zum Vorschein, dessen Wirken bemerkenswert aktuell ist: nicht nur weil man goldene Wasserhähne auch heute noch zuhauf in den Präsidentenpalästen findet, besonders in jenen, vor deren Pforten das Volk hungert."
"11","2012-05-03","Zeitung","Die Zeit, 03.05.2012","» Ihr, das Volk Frankreichs, werdet Europa sagen, welchen Weg es gehen soll!«, rief er am vergangenen Sonntag auf einer Wahlversammlung seinen Anhängern zu."
"12","2021-01-21","Zeitung","Die Zeit, 21.01.2021","Generell müssten unsere Parlamente diverser zusammengesetzt sein, um »das Volk« zu repräsentieren."
"13","2019-04-25","Zeitung","Die Zeit, 25.04.2019","Selenskyjs Partei »Diener des Volkes« führt zwar in den Umfragen, ist aber bislang nicht mehr als eine Hülle."
"14","2011-03-17","Zeitung","Die Zeit, 17.03.2011","Fotos von den Toten der Revolution, Schilder mit den Köpfen der elf bösen Buben von Ahmed Schafiks Übergangsregierung, die das Volk hinter Gittern sehen möchte."
"15","2010-01-28","Zeitung","Die Zeit, 28.01.2010","Weil unserem Volke und dem Bundestag möglicherweise sehr schwierige Abwägungen und Entscheidungen bevorstehen, erscheint mir allerdings ein hohes Maß an Realismus geboten."
"16","2018-08-23","Zeitung","Die Zeit, 23.08.2018","Schon als er sich dem Volk von Theben als neuer König vorstellte, lief ihm das Volk davon, und dazu brauchte es nicht mehr als die fernen Rufe eines Verführers, des Dionysos selbst, strahlend, betörend gesungen von dem amerikanisch-sri-lankischen Tenor Sean Panikkar."
"17","2018-05-10","Zeitung","Die Zeit, 10.05.2018","Im syrischen Staatsfernsehen, in Magazinen und auf offiziellen Fotos wurde sie gerne als fürsorgliche, stille Syrerin aus dem Volk gezeigt."
"18","2014-01-02","Zeitung","Die Zeit, 02.01.2014","Nun muss sich das Volk"
"19","2011-11-03","Zeitung","Die Zeit, 03.11.2011","Im Referendumsprojekt drückt sich die elementare Wahrheit aus, dass man einem Volk Lasten über ein gewisses Maß hinaus nicht zumuten kann, ohne dieses Volk selbst nach seiner Meinung zu fragen."
"20","2017-12-20","Zeitung","Die Zeit, 20.12.2017","Lieber Freund, gern wären wir weltfroh und aufgeschlossen: endlich ein gutes Volk, nach der"
"21","2016-11-10","Zeitung","Die Zeit, 10.11.2016","vom ausgerotteten jüdischen Volk."
"22","2017-04-27","Zeitung","Die Zeit, 27.04.2017","Nathalie Volk arbeitet als Model und Moderatorin."
"23","2011-11-03","Zeitung","Die Zeit, 03.11.2011","Die »Stunde null« wurde zur magischen Beschwörungsformel, als könne ein Volk mit einer zweitausendjährigen Geschichte seine Uhren einfach zurücksetzen, die Ärmel hochkrempeln und so tun, als sei das Material, aus dem man sich anschickte, das Neue zu bauen, etwas anderes als die Trümmer der eigenen Vergangenheit."
"24","2011-02-17","Zeitung","Die Zeit, 17.02.2011","»Die Revolution eines geistreichen Volkes«, so schrieb Immanuel Kant, »mag gelingen oder scheitern« - und doch »findet die Revolution in den Gemütern aller Zuschauer eine Teilnehmung dem Wunsche nach, die nahe an Enthusiasmus grenzt und keine andere als eine moralische Anlage im Menschengeschlecht zur Ursache haben kann«."
"25","2018-04-05","Zeitung","Die Zeit, 05.04.2018","Über sie alle hat das deutsche Volk auf der ganzen Linie gesiegt."
"26","2014-03-06","Zeitung","Die Zeit, 06.03.2014","Und davon haben beide Seiten etwas, das Volk und er selbst."
"27","2007-10-25","Zeitung","Die Zeit, 25.10.2007","Mit ihm die meisten Minister, doch das Parlament bleibt.Das ist es, was Blum gesucht hat: ein Bündnis von Parlament und Volk, die alten Kräfte sind »draußen«."
"28","2007-10-18","Zeitung","Die Zeit, 18.10.2007","Das Problem ist nur: Sarkozys Vorgänger wussten, wie nützlich ein Puffer zwischen Volk und Élysée-Palast sein kann."
"29","2011-07-14","Zeitung","Die Zeit, 14.07.2011","Das fällt auch der ZEIT-Redaktion auf, schließlich verbreitet Steinbrück auch hier seine beim Volk anscheinend beliebten Botschaften."
"30","2019-04-04","Zeitung","Die Zeit, 04.04.2019","Die Parteien der Weimarer Nationalversammlung repräsentierten ein demoralisiertes Volk, zugleich Sozialstrukturen des Kaiserreichs."
"31","2013-01-31","Zeitung","Die Zeit, 31.01.2013","Wir Araber sind ein gastfreundliches Volk, aber, unter uns, seid ihr denn keine Dummköpfe?"
"32","2012-11-08","Zeitung","Die Zeit, 08.11.2012","Kollaps der Völker"
"33","2013-03-21","Zeitung","Die Zeit, 21.03.2013","Doch für Hu spiegelt sich im Netz gerade nicht die vorherrschende Meinung des Volkes:"
"34","2020-01-30","Zeitung","Die Zeit, 30.01.2020","Sie wollen sich das Volk untertänig"
"35","2011-03-03","Zeitung","Die Zeit, 03.03.2011","Frank Drieschner ist in seinem Artikel Nichts fürs Volk (ZEIT Nr. 9/11) der Versuchung erlegen, die niedrige Wahlbeteiligung bei der jüngsten Bürgerschaftswahl in Hamburg allein dem veränderten Wahlrecht zuzuschreiben, und zieht daraus den Schluss, das neue, nicht ganz einfache Abstimmungsverfahren sei untauglich."
"36","2022-07-28","Zeitung","Die Zeit, 28.07.2022","Ich bitte demütig um Vergebung für das Böse, das von so vielen Christen an den indigenen Völkern begangen wurde.«"
"37","2009-09-03","Zeitung","Die Zeit, 03.09.2009","Ein Kranz aus halb skeptisch, halb interessiert hinzutretendem Volk umgibt Westerwelle in diesem Sommer."
"38","2015-12-30","Zeitung","Die Zeit, 30.12.2015","Auch wir schreiben einen Brief, um zu erfahren, was der Bundespräsident aus den Bürgerbriefen über sein Volk erfährt."
"39","2011-11-10","Zeitung","Die Zeit, 10.11.2011","Als die Mitglieder des Parlamentarischen Rates 1948 das Grundgesetz schrieben, hatten sie noch Angst vor dem Volk und seinen Launen."
"40","2015-07-30","Zeitung","Die Zeit, 30.07.2015","Mit der Eroberung dieser Grenzstadt war das ewig staatenlose Volk der Kurden dem schon deutlich näher gekommen, was ""kurdischer Korridor"" genannt wird: ein Streifen vom äußersten Nordosten Syriens westwärts hinunter zum Mittelmeer."
"41","2016-08-04","Zeitung","Die Zeit, 04.08.2016","Das Volk sieht oft nur die Privilegien,"
"42","2021-07-22","Zeitung","Die Zeit, 22.07.2021","Er proklamiert: »Der Hauptfeind jedes Volkes steht in seinem eigenen Land!«"
"43","2022-05-19","Zeitung","Die Zeit, 19.05.2022","Sie sehen sich selbst als die Reiter, während das russische Volk dem unmündigen, amorphen »Es« entspreche."
"44","2005-07-14","Zeitung","Die Zeit, 14.07.2005","Auch wenn das Plebiszit niemals Gesetz werden sollte, es manifestiert die Stimmung im Volk."
"45","2013-09-12","Zeitung","Die Zeit, 12.09.2013","Damit wird man dem ungeheuren Leid und dem Mut des syrischen Volkes nicht gerecht."
"46","2015-12-30","Zeitung","Die Zeit, 30.12.2015","steht die Richtige an der Schnittstelle zwischen Volk und Oberhaupt, zwischen"
"47","2005-06-23","Zeitung","Die Zeit, 23.06.2005","Rafsandschani muss sich vorwerfen lassen, dass er die Stimmung im iranischen Volk falsch eingeschätzt hat."
"48","2015-01-15","Zeitung","Die Zeit, 15.01.2015","Lügenpresse, Lügenpresse"" und ""Wir sind das Volk"" sind die Parolen, die"
