Keyword,Period,Year,Date,Hit_Cleaned,Hit,Index,Intensity,Valence,Temporality,Reasoning
Volk,1918-1932,1918.0,1918-03-16,"Nach den Zeitungsstimmen, die hier vorliegen, scheint man in England unseren tapferen und treuen Verbündeten zu ermutigen, sich auf einen Weg zu begeben, der ihn unvermeidlich isolieren und seiner wirklichen Freunde unter den freien Völkern der Welt berauben muß.",,8,2.0,4.0,zukünftig/projiziert,"‚freien Völkern‘ wird als politische, nicht ethnische Allianz bezeichnet und als zukünftig zu verlierendes Netzwerk positiver Verbündeter dargestellt."
Volk,1918-1932,1918.0,1918-03-18,"In den Zeiten der Agrarwirtschaft wurden die Kriege geführt um Acker, Wald und Weideflächen, in unserer Epoche kämpfen die Völker außerdem und hauptsächlich um Rohprodukte und um Absatzmärkte und um die Sicherstellung dieser beiden Faktoren durch die politische Macht . Selbst wenn die Mittelmächte alle von ihnen okkupierten Gebiete behalten wollten, und selbst wenn es ihnen gelänge, mit Rußland und sogar mit Frankreich ein einheitliches Wirtschaftsgebiet. zu bilden, dann würden sie dennoch des englischen Imperiums auf die Dauer als Rohproduktenmarkt und als Absatzgebiet nicht mit Vorteil entbehren können.",,9,3.0,3.0,gegenwärtig/neutral,"‚Die Völker‘ wird deskriptiv als handelnde Kollektive in der Gegenwart wirtschaftlicher und politischer Kämpfe gebraucht, ohne explizite ethnisch-biologische Aufladung oder stolzstiftende Rhetorik."
Volk,1918-1932,1918.0,1918-01-09,"Das ganze Volk in Stadt und Land muß zusammenstehen , eine Bevölkerungsklasse die andre verstehen, ihre Leistungen für das gemeinsame Ganze würdigen und die Not eines Krieges als eine gemeinsame auf dem Herzen tragen.",,2,2.0,5.0,gegenwärtig/neutral,Appell zur gegenwärtigen nationalen Einheit und gegenseitigen Würdigung der Klassen im Krieg; damit zivil-national und positiv konnotiert.
Volk,1918-1932,1918.0,1918-03-07,"Für die historische Erkenntnis eines Volkes ist die Erforschung seiner Literatur ein unentbehrliches Hilfsmittel; nur vermöge seiner Literatur ist ein Volk überhaupt gewürdigt, eine Stellung in der Entwicklungsgeschichte der Menschheit einzunehmen.""",,5,4.0,5.0,historisch/überholt,"Stellt das Volk als kulturell-historische Einheit dar, deren Würdigung und Stellung durch gemeinsame Literatur begründet wird."
Volk,1918-1932,1918.0,1918-01-01,"Hindenburg hat stets seinem Volke und seinem Kaiser gedient, doch keiner Partei; nur die Uneinigkeit bekämpft er fort und fort.",,0,4.0,5.0,gegenwärtig/neutral,"Lobender Gebrauch des Begriffs als nationaler Bezugsrahmen neben dem Kaiser, nationalistisch-integrativ."
Volk,1918-1932,1918.0,1918-01-01,"Wenn G. Freytag sagt: ""Der Krieg verkündet durch den Donnerton seiner Geschütze, daß der einzelne und sein Leben verschwindend wenig sei gegen das Leben seines Volkes"", so übersieht er den großen Führer im Kampf; der bürgt an erster Stelle für das Leben seines Volkes, er offenbart vor den anderen die Arbeit für sein Volkstum durch seine Taten.",,1,5.0,5.0,zukünftig/projiziert,"Organisch-nationalistischer Gebrauch ('Volkstum'), heroisiert als identitätsstiftende Gemeinschaft und als Ziel, für das der Führer handelt."
Volk,1918-1932,1918.0,1918-03-08,"In bezug auf Rumänien sagte Bonar Law , das Unterhaus wisse genau, daß die Frage, ob Rumänien mit gutem Erfolg weiterkämpfen konnte, vollständig von Rußlands Mitwirkung am Kriege abhängig war Im Augenblick , wo Rußland ausgeschaltet war, ist das rumänische Volk und Heer in eine Lage gekommen, die man als tragisch bezeichnen könnte.",,6,3.0,2.0,gegenwärtig/neutral,"Bezieht sich deskriptiv auf die rumänische Bevölkerung und das Heer in ihrer gegenwärtigen tragischen Lage, nicht als stolz-nationalistisches Selbstbild."
Volk,1918-1932,1918.0,1918-03-03,"Nicht nur die Vertretung des französischen Volkes sagt: ""Elsaß und Lothringen, ihr feiert die Rückkehr zu eurem Vaterlande,"" sondern auch in seiner Gesamtheit der große Bund, der sich gebildet hat, um den Störern des Weltfriedens den Weg zu verlagen und auf der Grundlage internationale Vereinigung freier Völker zu schaffen.",,3,2.0,4.0,gegenwärtig/neutral,"Bezieht sich institutionell auf das französische Kollektiv und wird als identitätsstiftende, gegenwärtige Ansprache verwendet."
Volk,1918-1932,1918.0,1918-03-05,"Wenn die deutschen Interessenten auf Garantien für eine unparteiische Rechtsprechung so großen Wert legen, liegt darin keinerlei Mißtrauen gegen die künftigen ukrainischen Gerichte . Der ehrliche Wille der beiden Staaten, in Frieden und Freundschaft miteinander zu leben, das Bewußtsein, daß das deutsche und das ukrainische Volk niemals feindliche Gefühle gegeneinander hatten, wird die Rechtsprechung gerecht und frei von Leidenschaft lassen.",,4,4.0,4.0,historisch/überholt,"Bezeichnet nationale Kollektive in positiv-identitärer Weise und betont eine vergangene Nicht-Feindschaft, um künftiges Vertrauen zu stützen."
Volk,1918-1932,1918.0,1918-03-11,"Nur die Worte, daß das alles zum Glück und zur Befreiung der Völker geschehe, behielt man bei.",,7,2.0,2.0,zukünftig/projiziert,"‚Völker' wird als rhetorische, zukunftsgerichtete Losung der Befreiung gebraucht und hier eher allgemein-politisch sowie nur formal/ironisch beibehalten."
Volk,1918-1932,1918.0,1918-03-25,"Es macht mich glücklich einen so zielbewußt geleiteten, zukunftsreichen Volke wie dem der Bulgaren bei Erfüllung feiner nationalen Wünsche als Soldat haben dienen zu können.""",,11,5.0,5.0,zukünftig/projiziert,"'Volk' wird hier als identitätsstiftende, nationalistische Einheit gepriesen (militärischer Stolz, 'zielbewußt geleiteten', 'zukunftsreichen') und auf zukünftige nationale Wünsche bezogen."
Volk,1918-1932,1918.0,1918-03-25,"""Samt seinem erhabenen Herrscher schätzt das bulgarische Volk diese Verdienste des würdigen Heerführers hoch, der den deutschen Namen auf dem Balkan mit Ruhm bedeckte, und indem er mit seinen Siegen die Waffenbrüderschaft der beiden Völker besiegelte, wirkte er mächtig für die Verwirklichung des Ideals des bulgarischen Volkes und für einen dauerhaften Frieden im Feldmarschall Mackensen sagte in seiner Dankantwort:",,10,5.0,5.0,zukünftig/projiziert,"Militärisch-nationalistischer Gebrauch: das Volk als identitätsstiftende, von Sieg und Herrscher geprägte Gemeinschaft und Träger eines zu verwirklichenden Ideals und künftigen Friedens."
Volk,1918-1932,1918.0,1918-07-02,"Und daß wir unseren Feinden nicht auch noch die andere Backe darbieten, das geht nicht, weil unsere Führer nicht für sich persönlich dastehen, sondern weil sie im Auftrag und als Vertreter des Volkes handeln und auf ihnen die Verantwortung für die Erhaltung all seiner Güter: kultureller, ethischer und religiöser, liegt.",,12,4.0,5.0,gegenwärtig/neutral,"Das Volk wird als kollektive Identität verstanden, deren kulturelle, ethische und religiöse Güter von den Führern zu bewahren sind, was eine identitätsstiftende/ethnokulturelle Betonung nahelegt."
Volk,1918-1932,1918.0,1918-11-03,Der Reichstag wird künftig auf allen Gebieten des deutschen öffentlichen Lebens zu bestimmen haben und wird die wahre Stimme der Mehrheit des deutschen Volkes zum Ausdruck bringen.,,17,2.0,5.0,zukünftig/projiziert,"Im revolutionären 1918-Kontext wird ‚Volk‘ als demokratische, identitätsstiftende Mehrheit beschworen und als künftige Legitimation des Reichstags dargestellt."
Volk,1918-1932,1918.0,1918-10-17,"»Entweder will das Volk sich die Herrschaft des Gesetzes überhaupt noch nicht gefallen lassen . . . so ist in diesem Fall Krieg zwischen dem Fürsten selbst und dem Volke . . . und der Fürst erhält, da ja schlechthin, und ob es dem Volke gefalle oder nicht, Gesetzmäßigkeit und Friede sein soll, in diesem Falle das göttliche Recht des Krieges gegen ein solches Volk . . .",,13,4.0,1.0,gegenwärtig/neutral,"Das ‚Volk‘ wird als gegenwärtig widerspenstig dargestellt und als Ziel monarchischer Zurechtweisung beziehungsweise göttlicher Kriegsrechtfertigung, nicht als verfassungsbürgerliche Gemeinschaft."
Volk,1918-1932,1918.0,1918-10-20,»Notwendig gerät ein Volk von der unbedingten Geltung der politischen Triebe aus in die Bahn äußerster Verweltlichung usw.«,,16,3.0,1.0,zukünftig/projiziert,"Der Satz warnt deterministisch, dass das Volk in eine Entwicklung der Verweltlichung abgleitet und nutzt 'Volk' hier als allgemeines Kollektiv, nicht ausdrücklich als ethnisch-biologische Kategorie."
Volk,1918-1932,1918.0,1918-12-31,Der Vorgang findet in den Annalen keines stolzen Volkes seinesgleichen.,,19,4.0,5.0,historisch/überholt,"»stolzes Volkes« idealisiert kollektive Identität und trägt nationalistischen Ton, während »in den Annalen« die Perspektive historisch verortet."
Volk,1918-1932,1918.0,1918-10-17,"»Entweder will das Volk sich die Herrschaft des Gesetzes überhaupt noch nicht gefallen lassen . . . so ist in diesem Fall Krieg zwischen dem Fürsten selbst und dem Volke . . . und der Fürst erhält, da ja schlechthin, und ob es dem Volke gefalle oder nicht, Gesetzmäßigkeit und Friede sein soll, in diesem Falle das göttliche Recht des Krieges gegen ein solches Volk . . .",,14,4.0,1.0,zukünftig/projiziert,Das Volk wird als aufrührerische Masse gegenüber dem Fürsten dargestellt und als Ziel göttlich legitimierter Gewalt projiziert.
Volk,1918-1932,1918.0,1918-10-20,"Sein Bruder Thomas aber sagt: »Ich beargwöhne die steif ablehnende Kälte einer 'Vergeistigung', die sich zu vornehm dünkt, den Traum eines Volkes von Heimsuchung und notgeborener Tat einen Tag auch nur, eine Stunde lang mitzuträumen, und sich den in aller Geschichte unerhörten, auch von sehenden Feinden als beispiellos bestaunten Leistungen dieses Volkes hartnäckig verschließt - nur, weil sie sonst nicht 'recht behielte'.«",,15,4.0,5.0,zukünftig/projiziert,"Das 'Volk' wird als bewunderte, identitätsstiftende Kollektivkraft mit einem geträumten Handlungspotential dargestellt und gegen intellektuelle Distanz verteidigt, eher ethnisch-kollektiv denn staatsbürgerlich."
Volk,1918-1932,1918.0,1918-12-31,"Volk, wach auf!",,18,4.0,2.0,zukünftig/projiziert,"Imperativer Weckruf in der Nachkriegszeit, alarmierend und mobilisierend im Sinne völkisch-nationaler Agitation, mit Blick auf zukünftiges Handeln."
Volk,1918-1932,1918.0,1918-12-31,"Die Rassenprobleme gehören in der internationalen Politik zu den allerschwierigsten, weil durch die Interessenkonflikte der weißen Völker komplizierten Fragen.",,20,5.0,3.0,gegenwärtig/neutral,"Der Begriff ‚weiße Völker‘ essentialisiert und biologisiert Gruppenzugehörigkeit und ordnet internationale Konflikte entlang ethnischer Kategorien, was eine stark ethnisch/blutgemeinschaftliche Perspektive nahelegt."
Volk,1918-1932,1918.0,1918-12-31,»Sie sind im wesentlichen und eigentlichen ein Volk - das der Krieg spaltet.,,22,3.0,2.0,gegenwärtig/neutral,"Bezeichnet eine gegenwärtige kollektive Einheit, die der Krieg zerrissen hat; appelliert an Zusammenhalt ohne explizite biologisierende Argumentation."
Volk,1918-1932,1918.0,1918-12-31,"»Wir wollen unser Recht, des Volkes Recht, über sein eigen Leben und Sterben zu bestimmen.",,24,5.0,5.0,zukünftig/projiziert,"Das ‚Volk‘ wird als kollektive Instanz dargestellt, die autoritativ über Leben und Sterben entscheiden will, appellativ und zukunftsgerichtet."
Volk,1918-1932,1918.0,1918-12-31,"Das Tragische im Leben Napoleons - noch unentdeckt für einen Dichter, der groß genug wäre, es zu begreifen und zu gestalten - liegt darin, daß er, dessen Dasein im Kampf gegen die englische Politik, die vornehmste Repräsentantin des englischen Geistes, aufging, eben durch diesen Kampf den Sieg dieses Geistes auf dem Kontinent vollendete, der dann mächtig genug war, in der Gestalt ""befreiter Völker"" ihn zu überwältigen und in St. Helena sterben zu lassen.",,23,3.0,2.0,historisch/überholt,»Völker« erscheint deskriptiv als kollektive Bevölkerung (»befreiter Völker«) und wird ironisch-reflexiv als Instrument des englischen Geistes dargestellt.
Volk,1918-1932,1918.0,1918-12-31,In Amerika waren die vom Präsidenten ernannten Richter den vom Volk gewählten turmhoch an Tüchtigkeit und Integrität überlegen.,,21,1.0,1.0,gegenwärtig/neutral,"Bezeichnet die wahlberechtigte Bevölkerung im verfassungsstaatlichen Sinn und wird hier abwertend den ernannten Richtern gegenübergestellt, als beschreibende Aussage der damaligen Gegenwart."
Volk,1918-1932,1918.0,1918-12-31,"Der Henker hob die Kurfürstin, die in Ohnmacht dahingesunken war, auf seine Arme und trug sie, ohne seiner Last innezuwerden, durch das Volk, das ihm Spalier bildete, zurück auf den Schinderkarren, setzte sich selbst darauf, ergriff die Zügel, schnalzte mit der Zunge und fuhr mit ihr nach Trebbin.",,28,1.0,3.0,gegenwärtig/neutral,"Bezeichnet schlicht die anwesende Menschenmasse als beobachtendes Publikum, ohne nationale oder stolze Aufladung."
Volk,1918-1932,1918.0,1918-12-31,"Taten und Gesinnungen, Religion und Staat, Künste und Wissenschaften, Völker und Städte, wirtschaftliche und gesellschaftliche Formen, Sprachen, Rechte, Sitten, Charaktere, Gesichtszüge und Trachten.",,25,4.0,4.0,gegenwärtig/neutral,"Die Aufzählung verbindet kulturelle und körperliche Merkmale (z. B. Gesichtszüge, Trachten), wodurch ‚Volk‘ ethnicisiert und eher identitätsstiftend dargestellt wird."
Volk,1918-1932,1918.0,1918-12-31,"Inzwischen war die Straße, zu deren Bau einst der Sintlinger halb ernst, halb spielerisch verstellt den letzten Anstoß gegeben hatte, vollkommen fertig geworden, und weil der Heiligenbauer trotz aller Zurückhaltung nicht nur bei dem Volk, sondern auch bei den Behörden als der eigentliche Vater dieses Unternehmens galt, ergab es sich mit Notwendigkeit, daß ihm bei der feierlichen Einweihung eine besonders ehrenhafte Rolle zugedacht war.",,27,2.0,4.0,gegenwärtig/neutral,"'Volk' bezeichnet hier schlicht die allgemeine Bevölkerung als gegenwärtige soziale Bezugsgröße und drückt Popularität/Ansehen aus, ohne ethnisch-biologische Aufladung."
Volk,1918-1932,1918.0,1918-12-31,"Gerade daß die Renaissance, diese vermeintliche Wiedergeburt der - so gar nicht exklusiven, in ihrem Publikum so gar nicht wählerischen - Antike keine Ausnahme macht; daß sie durch und durch die Schöpfung eines Kreises und einzelner erlesener Geister war, ein Geschmack, der die Menge von vornherein abwies, daß im Gegenteil das Volk von Florenz gleichgültig, erstaunt oder unwillig zusah und gelegentlich, wie im Falle Savonarolas, mit Vergnügen die Meisterwerke zerschlug und verbrannte, beweist, wie tief diese Seelenferne geht.",,26,3.0,1.0,historisch/überholt,"Das 'Volk' erscheint als historische Masse Florenz' im Kontrast zur Elite, desinteressiert und teils destruktiv (Savonarola)."
Volk,1918-1932,1918.0,1918-12-31,"Das Ablegen oder Teilen ist ein Vorgang, bei welchem der Imker zwecks Vermehrung seiner Volkszahl aus ein oder mehreren Völkern Brutwaben entnimmt und daraus neue Völker bildet.",,29,1.0,3.0,gegenwärtig/neutral,"Sachliche, zoologische Verwendung von ‚Volk/Volkszahl‘ im Imkerkontext; keine nationalistische oder identitätsstiftende Konnotation."
Volk,1918-1932,1919.0,1919-03-13,"Und da stand das Volk: die alten Fahnen hatten sie ihm heruntergerissen, aber es hatte keine neue.",,30,2.0,1.0,gegenwärtig/neutral,"Stellt das Volk als gegenwärtig führungs- und identitätslos dar: die alten Fahnen sind heruntergerissen, aber keine neuen Symbole vorhanden."
