"No.","Date","Genre","Bibl","Hit"
"1","1990-08-10","Zeitung","Die Zeit, 10.08.1990","Bis zur gesamtdeutschen Wahl könnte die DDR-Regierung geschäftsführend weiter amtieren - vielleicht sogar, befristet, darüber hinaus, falls sich die neuen Länder nicht rasch genug etablieren sollten."
"2","1996-09-13","Zeitung","Die Zeit, 13.09.1996","Die umstrittenen Wahlen würden verschoben, die Ifor demilitarisierte das Land, ein Gouverneur hätte alle Vollmachten, die nationalistischen Führer würden abgesetzt."
"3","2003-04-10","Zeitung","Die Zeit, 10.04.2003","Sinnvoll wäre stattdessen, wie es andere Länder mit Erfolg vorführen, alle Kinder länger als vier Jahre gemeinsam zu unterrichten."
"4","1999-09-02","Zeitung","Die Zeit, 02.09.1999","Links die Wilstermarsch, rechts das Land Kehdingen."
"5","1997-01-24","Zeitung","Die Zeit, 24.01.1997","Der Gedankensprung vom Heiligen Land aufs platte Land liegt auf der Hand:"
"6","1997-11-07","Zeitung","Die Zeit, 07.11.1997","In Glaskästen liegen, metallschimmernd wie Captain Kirks Logbuch, Faksimiles der Dekrete über Frieden und Land von 1917."
"7","1997-08-22","Zeitung","Die Zeit, 22.08.1997","Jede der beiden Prinzessinnen brachte nicht nur einen anderen Buddhismus ins Land, sondern sie gründeten in Lhasa unterschiedliche Tempel: Bhrikuti den Jokhang-Tempel, den heiligsten Tempel Tibets, und Wencheng den Ramoche-Tempel."
"8","2001-07-12","Zeitung","Die Zeit, 12.07.2001","Nun, im Land der Freien, McCarthys neuem Roman, wird die Geschichte von beiden erstmals zusammengeführt."
"9","2003-02-20","Zeitung","Die Zeit, 20.02.2003","Denn schon Jahrhunderte vor der Französischen Revolution formulierte der wahre Islam die Grundlagen für Demokratie und Menschenrechte In den meisten muslimischen Ländern wurde der weltlichen Macht göttliche Autorität zugesprochen."
"10","1991-05-17","Zeitung","Die Zeit, 17.05.1991","Ein Land wie Syrien wiederum ist auf sowjetische und osteuropäische Rüstungslieferungen angewiesen."
