"No.","Date","Genre","Bibl","Hit"
"1","1951-06-28","Zeitung","Die Zeit, 28.06.1951","Er sagte, daß, während damals alle Friedenshoffnungen vernichtet schienen, heute die Vereinten Nationen stärker seien als vor einem Jahr."
"2","1946-08-01","Zeitung","Die Zeit, 01.08.1946","In Paris sind die Vertreter von 21 Nationen zusammengetreten, um den kommenden Frieden zu schließen."
"3","1966-05-13","Zeitung","Die Zeit, 13.05.1966","So wäre es logisch, wenn die kontinentaleuropäischen Mitglieder der Vierzehn ihre Streitkräfte nur dann der NATION unterstellen würden, wenn die gegenwärtige Ständige Gruppe durch eine Planungsgruppe der NATION ersetzt würde."
"4","1968-11-01","Zeitung","Die Zeit, 01.11.1968","Viele Jahre, bis 1953, hatte auch er, ein ""verdienter Künstler der Nation"", seinen Tribut gezollt, als Journalist, als Propagandist, als Hofsänger der Diktatoren."
"5","1968-08-02","Zeitung","Die Zeit, 02.08.1968","""Sie haben mein Werk zum zweitenmal geschaffen"", hat Strehler unter anderem den ""Galilei"", den ""Guten Menschen"" und den ""Schweyk"" inszeniert, und wenn es seine erklärte Absicht war und ist, daß der ""Genuß aktiviert und das Vergnügen zur Erkenntnis geführt wird"", dann wirkt das ebenso wie angewandter Brecht wie Grassis schon 1940 aufgestellte Maxime, das Theater solle nicht ""Vergnügen einer Klasse, sondern Vergnügen einer Nation"" sein, oder seine Aufforderung:"
"6","1959-07-17","Zeitung","Die Zeit, 17.07.1959","[...] Fünf Jahre nach Nürnberg, im September 1951, gaben die Außenminister der drei Westmächte am Schluß ihrer Konferenz in Washington ein recht gequältes Kommuniqué heraus, in dem stand: ""Die Außenminister prüften die Beziehungen ihrer Länder zu der Bundesrepublik Deutschland und einigten sich über die Instruktionen, die der Alliierten Hochkommission zu erteilen sind, um mit der deutschen Bundesregierung über annehmbare gegenseitige Abkommen zu verhandeln, die eine vollständige Umwandlung des Charakters der Beziehungen zwischen den drei Nationen und der Bundesrepublik Deutschland zur Folge haben werden ... unter Berücksichtigung einer deutschen Beteiligung an der Verteidigung des Westens."" [...]"
"7","1947-01-02","Zeitung","Die Zeit, 02.01.1947","War auch seine Erscheinung je und je etwas bürgerlich, etwas bieder, etwas. beamtenhaft und allzu weit aus den Wildnissen Werthers entlaufen, so war das Format doch immer groß, und gemeint war immer ein hohes Ziel, das edelste aller Ziele: die Ermöglichung und Begründung eines vom Geist regierten Lebens, für ihn selbst nicht nur, sondern für seine Nation und seine Zeit."
"8","1946-10-17","Zeitung","Die Zeit, 17.10.1946","""Für Dänemark ist es untragbar, abgesehen von der finanziellen Seite, die deutschen Flüchtlinge in den dänischen Volkskörper aufzunehmen"", sagte Außenminister Rasmussen kürzlich in einer Note an die Generalversammlung der Vereinten Nationen."
"9","1960-10-21","Zeitung","Die Zeit, 21.10.1960","Der afrikanische Block hat noch keinen Sprecher, er hat aber mehrere prominente Persönlichkeiten, deren Reden in den Vereinten Nationen großen Eindruck hinterließen: Olympio von Togo, Ghanas Nkrumah und Nigerias Abubakar T. Balewa."
"10","1969-09-05","Zeitung","Die Zeit, 05.09.1969","Auf dem Globus daheim im Wohnzimmer vermittelt er den Eindruck wuchtiger Kompaktheit, die politische Landkarte des Schwarzen Kontinents verzeichnet heute gleichwohl 43 unabhängige Staaten, ein Drittel aller Mitglieder der Vereinten Nationen."
