"No.","Date","Genre","Bibl","Hit"
"1","1932-04-18","Zeitung","Archiv der Gegenwart, Bd. 2, 18.04.1932, S. 293 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Der Bericht hebt hervor, daß es gerade die Vertreter des Staates Mississippi sind, die gegenwärtig den stärksten Widerspruch dagegen erheben, daß die Vereinigten Staaten europäischen Ländern einen Schuldennachlaß gewähren. (L. B. England Zahlungsbilanz 194 L, Finanzen 289 G, Verschuldung Bulgarien 222 A, Griechenland 256 C, Ungarn 113 J.)"
"2","1932-11-15","Zeitung","Archiv der Gegenwart, Bd. 2, 15.11.1932, S. 561 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Eine Weigerung, sich diesem Verfahren zu unterwerfen oder die gerichtliche oder schiedsgerichtliche Entscheidung durchzuführen, solle ein Verfahren vor dem Völkerbundrate zur Folge haben und die anderen Staaten zur Mithilfe bei den von diesem beschlossenen Maßnahmen verpflichten."
"3","1932-06-04","Zeitung","Archiv der Gegenwart, Bd. 2, 04.06.1932","(Bis zu 2 Mill.) (L. B. Ver. Staaten 356 E, Japan 200 A.)"
"4","1932-09-16","Zeitung","Archiv der Gegenwart, Bd. 2, 16.09.1932, S. 487 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Die Kündigung der Handelsverträge sei eine genügend wirksame Maßnahme gegen Staaten, welche sich gegenüber dem Export Litauens abschließen. (L. B. 457 B.)"
"5","1932-09-01","gesprochen","o.A., Kundgebung der NSDAP im Berliner Sportpalast, 01.09.1932","Wenn morgen der Bolschewismus siegen würde, wollen die Herren dann etwa auch in ihrer naiven Art erklären, dass das den Staat, die Staatsautorität, den Staatsgedanken, die Staatssouveränität usw. nicht berühre?"
"6","1932-11-15","Zeitung","Archiv der Gegenwart, Bd. 2, 15.11.1932, S. 561 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Sonderstreitkräfte, wie bei den Landwehren, kämen für die Flotten nicht in Betracht, doch hätte jeder Zeichnerstaat, der eine Flotte besitzt, eine im voraus zu bestimmende Zahl von Kriegsschiffen aller Kategorien dem Völkerbund auf dessen Verlangen zur ersten Hilfeleistung für einen angegriffenen Staat zur Verfügung zu stellen."
"7","1926-12-31","Gebrauchsliteratur","Abel, Othenio: Amerikafahrt, Jena: Fischer 1926, S. 2","Diese Sammlung wurde am 21. Mai 1866 durch Brand zerstört, aber 1869 erfolgte die Gründung des neuen American Museum of Natural History in New York, heute das größte Museum der Vereinigten Staaten und vielleicht das reichste der Welt, obwohl es ausschließlich durch die Beiträge seiner Mitglieder, deren Zahl im Mai 1926 auf 8781 angewachsen ist, und durch Spenden, aber nicht durch staatliche Subsidien oder durch Beiträge der Stadt New York erhalten wird."
"8","1929-03-02","Zeitung","Völkischer Beobachter (Reichsausgabe), 02.03.1929","Der deutsche Staat hat diese ""praktische"" Möglichkeit ausgenützt zur Genüge; die Folge davon die ""ungeheuerliche Verschuldung des Staates, der ""Allgemeinheit"" an Gläubiger, die Glieder eben der nämlichen Allgemeinheit sind."
"9","1932-12-06","Zeitung","Archiv der Gegenwart, Bd. 2, 06.12.1932, S. 598 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","In dem einen wie in dem anderen Fall muß der Vorschlag je nach Beschluß des Kongresses entweder durch die Gesetzgebungen von drei Vierteln (36) aller Staaten oder durch besonders zu wählende ""Conventions"" in drei Vierteln aller Staaten ratifiziert werden. (L. B. Prohibition 591 G, Verfassung 555 B.)"
"10","1932-04-09","Zeitung","Archiv der Gegenwart, Bd. 2, 09.04.1932, S. 276 [ff.]. Zit. n. CD-ROM-Ausgabe 2001.","Zu den Staaten, mit welchen der österreichische Außenhandel stark passiv ist, gehören Deutschland, die Tschechoslowakei und Polen. (L. B. Donauföderation 275 G, Außenhandel 259 L.)"
