"No.","Date","Genre","Bibl","Hit"
"1","1922-03-09","Zeitung","Vossische Zeitung (Morgen-Ausgabe), 09.03.1922","Er führt aus, ein großer Teil des französischen Volkes habe Poincaré mit Freude als Vertreter einer neuen, entschieden nationalen Politik begrüßt und würde es nicht verstanden haben, wenn patriotische Organe diesen Glauben von vornherein bekämpft hätten, statt erst die Taten des neuen Ministerpräsidenten abzuwarten."
"2","1928-04-04","Zeitung","Vossische Zeitung (Abend-Ausgabe), 04.04.1928","Der Redner führte eine Reihe von Beispielen dafür an, daß die Deutschen sich als Lehrmeister fremder Völker bewährt haben, ohne die nationale Eigenart dieser Völker anzutasten."
"3","1930-12-31","Wissenschaft","Scheidt, Walter: Kulturbiologie, Jena: Fischer 1930, S. 101","Denn eine vollständige Anpassungsgeschichte eines Volkes könnte man heute selbst bei genauester Kenntnis des betreffenden Volkes und seiner Kultur nur dichterisch, aber kaum wissenschaftlich darstellen."
"4","1918-03-08","Zeitung","Berliner Tageblatt (Abend-Ausgabe), 08.03.1918","In bezug auf Rumänien sagte Bonar Law , das Unterhaus wisse genau, daß die Frage, ob Rumänien mit gutem Erfolg weiterkämpfen konnte, vollständig von Rußlands Mitwirkung am Kriege abhängig war Im Augenblick , wo Rußland ausgeschaltet war, ist das rumänische Volk und Heer in eine Lage gekommen, die man als tragisch bezeichnen könnte."
"5","1923-12-31","Wissenschaft","Schmitt, Carl: Die geistesgeschichtliche Lage des heutigen Parlamentarismus, Berlin: Duncker & Humblot 1991 [1923], S. 22","Vor einer, nicht nur in technischen, sondern auch im vitalen Sinne unmittelbaren Demokratie erscheint das aus liberalen Gedankengängen entstandene Parlament als eine künstliche Maschinerie, während diktatorische und zäsaristische Methoden nicht nur von der acclamatio des Volkes getragen, sondern auch unmittelbare Äußerungen demokratischer Substanz und Kraft sein können."
"6","1922-03-09","Zeitung","Berliner Tageblatt (Abend-Ausgabe), 09.03.1922","Die Romantik erstrebte anfangs breite Wirkung ins Volk und erreichte damit nur, ihm fremder als der Klassizismus zu werden; ihr letzter Schlachtruf gellte l`art pour l`art, ehe sie Fett ansetzte und darin erstickte."
"7","1931-03-01","Zeitung","Völkischer Beobachter (Reichsausgabe), 01.03.1931","Nachdem ein von auswärts nach Marburg abkommandierter Marxist seine Wühlarbeit gegen das erwachende Volk aufgenommen haben soll mit Geldern, deren Herkunft nicht zweifelhaft sein dürfte, macht sich ein zäher Widerstand von der sogenannten Staatspartei bis zu den Moskowitern gegen die drohende Abrechnung für ihren Verrat am Volke bemerkbar."
"8","1918-10-20","Wissenschaft","Boy-Ed, Ida: Thomas Mann: Betrachtungen eines Unpolitischen. In: Lehmstedt, Mark (Hg.) Deutsche Literatur von Frauen, Berlin: Directmedia Publ. 2001 [1918], S. 8450","Sein Bruder Thomas aber sagt: »Ich beargwöhne die steif ablehnende Kälte einer 'Vergeistigung', die sich zu vornehm dünkt, den Traum eines Volkes von Heimsuchung und notgeborener Tat einen Tag auch nur, eine Stunde lang mitzuträumen, und sich den in aller Geschichte unerhörten, auch von sehenden Feinden als beispiellos bestaunten Leistungen dieses Volkes hartnäckig verschließt - nur, weil sie sonst nicht 'recht behielte'.«"
"9","1921-03-05","Zeitung","Vossische Zeitung (Morgen-Ausgabe), 05.03.1921","Wir waren bereit, hierfür Zugeständnisse zu machen, wir waren bereit, alle berechtigten Zugeständnisse zu machen für die wirklichen Schwierigkeiten , unter denen das deutsche Volk und alle anderen infolge des Krieges leiden, aber diese Vorschläge sind offen gesagt beleidigend und erbitternd, und als ein Mann, der eifrig danach strebt, daß wirklicher Friede in Europa zwischen allen seinen Völkern hergestellt werde, beklage ich tief, daß solche Vorschläge überhaupt vorgebracht worden sind, denn sie zeigen den Wunsch, die Verpflichtungen, die Deutschland zur Last nicht sondern"
"10","1920-03-09","Zeitung","Berliner Tageblatt (Abend-Ausgabe), 09.03.1920","Denn jeder wirklich ernsthafte und wirklich vaterländisch denkende Mensch sollte denn doch vor einem Unternehmen zurückscheuen, das, wie die ""Kölnische Zeitung"" völlig zutreffend ausführt, jede Wiederausrichtung Deutschlands verhindern und das deutsche Volk in unabsehbare Katastrophen oder in dauernde Knechtschaft hineintreiben müßte."
"11","1932-12-31","Belletristik","Schenzinger, Karl Aloys: Der Hitlerjunge Quex, Berlin: Zeitgeschichte-Verl. 1932 [1932], S. 115","Frau Völker aber wagte schon gar nicht, dem Freund ihres Mannes zu widersprechen."
"12","1918-03-25","Zeitung","Vossische Zeitung (Abend-Ausgabe), 25.03.1918","""Samt seinem erhabenen Herrscher schätzt das bulgarische Volk diese Verdienste des würdigen Heerführers hoch, der den deutschen Namen auf dem Balkan mit Ruhm bedeckte, und indem er mit seinen Siegen die Waffenbrüderschaft der beiden Völker besiegelte, wirkte er mächtig für die Verwirklichung des Ideals des bulgarischen Volkes und für einen dauerhaften Frieden im Feldmarschall Mackensen sagte in seiner Dankantwort:"
